"Date","forecast_Sing_stringency","forecast_Sing_stringency_low_80","forecast_Sing_stringency_high_80","forecast_Sing_stringency_low_95","forecast_Sing_stringency_high_95"
2021-06-01,58.3378151608512,56.284593170297,60.3910371514055,55.1976831037835,61.477947217919
2021-06-02,58.3478955470053,55.4710953485555,61.2246957454552,53.9482093141043,62.7475817799064
2021-06-03,58.3577103676128,54.8645996677269,61.8508210674988,53.0154585613981,63.6999621738276
2021-06-04,58.3656375794082,54.3647388892122,62.3665362696043,52.246791058203,64.4844841006135
2021-06-05,58.3706639266461,53.9320001482659,62.8093277050263,51.5823134778597,65.1590143754325
2021-06-06,58.372183016118,53.5459586476909,63.1984073845451,50.9911097938268,65.7532562384092
2021-06-07,58.3698594322631,53.1944774272605,63.5452414372658,50.454795685506,66.2849231790203
2021-06-08,58.3635373368882,52.8696954080848,63.8573792656916,49.9614311659712,66.7656435078052
2021-06-09,58.3531790314002,52.5662106187483,64.140147444052,49.5027745893061,67.2035834734942
2021-06-10,58.3388236980259,52.2801455849281,64.3975018111236,49.0728751284523,67.6047722675994
2021-06-11,58.3205597290028,52.0086216482031,64.6324978098025,48.6672834632466,67.9738359947589
2021-06-12,58.2985062035746,51.7494431236997,64.8475692834494,48.2825785467105,68.3144338604386
2021-06-13,58.2728005217041,51.5008976312172,65.044703412191,47.9160687841741,68.6295322592341
2021-06-14,58.2435901796884,51.2616246373346,65.2255557220423,47.5655953395058,68.9215850198711
2021-06-15,58.2110273305691,51.0305259666166,65.3915286945215,47.2293981533561,69.192656507782
2021-06-16,58.1752652153444,50.806703142139,65.5438272885498,46.9060220029629,69.4445084277259
2021-06-17,58.1364558495027,50.5894124341364,65.683499264869,46.5942489796666,69.6786627193388
2021-06-18,58.0947485504971,50.3780319200114,65.8114651809828,46.2930488910487,69.8964482099455
2021-06-19,58.0502890272531,50.1720368875238,65.9285411669824,46.0015421253418,70.0990359291644
2021-06-20,58.0032188440587,49.9709811563069,66.0354565318104,45.7189713689532,70.2874663191641
2021-06-21,57.9536751326525,49.7744826774363,66.1328675878687,45.444679735317,70.462670529988
2021-06-22,57.9017904677255,49.5822122785558,66.2213686568952,45.1780936179555,70.6254873174955
2021-06-23,57.8476928489246,49.3938847580995,66.3015009397496,44.9187090797937,70.7766766180554
2021-06-24,57.7915057512221,49.2092517589824,66.3737597434618,44.6660809277451,70.9169305746991
2021-06-25,57.7333482181536,49.0280960080369,66.4386004282703,44.419813853334,71.0468825829732
2021-06-26,57.6733349809131,48.8502266163622,66.4964433454639,44.1795551821541,71.167114779672
2021-06-27,57.6115765920278,48.6754752130113,66.5476779710443,43.94498889009,71.2781642939656
2021-06-28,57.5481795661689,48.5036927399857,66.5926663923521,43.7158306271444,71.3805285051934
2021-06-29,57.4832465232328,48.3347467769988,66.6317462694669,43.4918235502737,71.474669496192
2021-06-30,57.4168763305609,48.168519294337,66.6652333667847,43.272734811399,71.5610178497228
2021-07-01,57.3491642423216,48.0049047544474,66.6934237301959,43.0583525802505,71.6399759043927
2021-07-02,57.280202034848,47.8438084996938,66.7165955700021,42.8484835070108,71.7119205626851
2021-07-03,57.2100781372373,47.6851453765599,66.7350108979146,42.6429505490782,71.7772057253963
2021-07-04,57.1388777568595,47.52883855644,66.7489169572789,42.4415911011828,71.8361644125362
2021-07-05,57.0666829996422,47.3748185208373,66.7585474784471,42.2442553797061,71.8891106195783
2021-07-06,56.9935729851421,47.2230221847951,66.7641237854891,42.0508050211692,71.9363409491149
2021-07-07,56.9196239565042,47.0733921371315,66.7658557758768,41.8611118620636,71.9781360509448
2021-07-08,56.8449093854657,46.9258759798318,66.7639427910997,41.6750568729524,72.0147618979791
2021-07-09,56.7695000725948,46.7804257519775,66.758574393212,41.492529224384,72.0464709208055
2021-07-10,56.6934642429699,46.6369974260391,66.7499310599007,41.3134254658875,72.0735030200522
2021-07-11,56.6168676375138,46.4955504663395,66.7381848086881,41.1376488023525,72.0960864726751
2021-07-12,56.5397736001938,46.3560474411208,66.7234997592668,40.9651084545743,72.1144387458132
2021-07-13,56.4622431613039,46.218453680981,66.7060326416267,40.7957190927924,72.1287672298153
2021-07-14,56.3843351170256,46.0827369775378,66.6859332565133,40.6294003337181,72.139269900333
2021-07-15,56.3061061054676,45.9488673170983,66.6633448938368,40.4660762929656,72.1461359179695
2021-07-16,56.2276106793719,45.8168166448716,66.6384047138722,40.3056751859577,72.149546172786
2021-07-17,56.1489013756605,45.6865586558928,66.6112440954282,40.1481289713557,72.1496737799652
2021-07-18,56.070028781997,45.5580686093712,66.5819889546228,39.9933730318941,72.1466845320999
2021-07-19,55.9910416005188,45.4313231636178,66.5507600374197,39.8413458881857,72.1407373128518
2021-07-20,55.9119867088944,45.3063002290973,66.5176731886914,39.6919889416628,72.131984476126
2021-07-21,55.8329092188476,45.1829788374701,66.482839600225,39.5452462433134,72.1205721943818
2021-07-22,55.7538525322823,45.0613390247685,66.4463660397961,39.4010642853034,72.1066407792612
2021-07-23,55.6748583951413,44.9413617270927,66.4083550631899,39.2593918129472,72.0903249773354
2021-07-24,55.595966949108,44.823028687403,66.3689052108129,39.1201796547883,72.0717542434276
2021-07-25,55.5172167812763,44.7063223721779,66.3281111903748,38.9833805688458,72.0510529937069
2021-07-26,55.4386449718894,44.5912258968443,66.2860640469344,38.8489491032988,72.02834084048
2021-07-27,55.3602871402478,44.4777229590228,66.2428513214728,38.7168414700905,72.0037328104051
2021-07-28,55.2821774888842,44.365797778743,66.1985571990255,38.5870154301118,71.9773395476567
2021-07-29,55.2043488460935,44.2554350448848,66.1532626473021,38.4594301887758,71.9492675034112
2021-07-30,55.126832706899,44.1466198671809,66.1070455466171,38.3340463009253,71.9196191128727
2021-07-31,55.0496592725425,44.0393377332022,66.0599808118828,38.2108255841438,71.8884929609413
2021-08-01,54.9728574885646,43.9335744698008,66.0121405073284,38.0897310396284,71.8559839375008
2021-08-02,54.8964550815485,43.8293162085489,65.9635939545481,37.9707267798827,71.8221833832143
2021-08-03,54.8204785945971,43.7265493547667,65.9144078344276,37.853777962568,71.7871792266263
2021-08-04,54.7449534215995,43.6252605597649,65.8646462834342,37.738850729913,71.7510561132861
2021-08-05,54.6699038403546,43.525436695984,65.8143709847251,37.6259121531578,71.7138955275513
2021-08-06,54.5953530445979,43.4270648347275,65.7636412544683,37.5149301815449,71.6757759076509
2021-08-07,54.5213231749911,43.3301322262316,65.7125141237506,37.4058735954354,71.6367727545467
2021-08-08,54.4478353491215,43.2346262818388,65.6610444164042,37.2987119631635,71.5969587350796
2021-08-09,54.3749096905565,43.1405345580581,65.6092848230548,37.1934156012788,71.5564037798342
2021-08-10,54.302565356999,43.0478447423283,65.5572859716698,37.0899555378685,71.5151751761296
2021-08-11,54.2308205675838,42.9565446403099,65.5050964948577,36.9883034786725,71.4733376564951
2021-08-12,54.1596926293552,42.8666221645565,65.4527630941539,36.888431775741,71.4309534829694
2021-08-13,54.0891979629608,42.7780653244236,65.400330601498,36.7903133983998,71.3880825275217
2021-08-14,54.0193521275993,42.6908622170955,65.3478420381031,36.6939219063211,71.3447823488774
2021-08-15,53.9501698452506,42.6050010196132,65.295338670888,36.5992314245039,71.3011082659973
2021-08-16,53.8816650242219,42.5204699818051,65.2428600666387,36.5062166199985,71.2571134284453
2021-08-17,53.8138507820408,42.437257420032,65.1904441440495,36.4148526802211,71.2128488838604
2021-08-18,53.746739467716,42.3553517116568,65.1381272237752,36.3251152927115,71.1683636427204
2021-08-19,53.6803426834011,42.2747412901738,65.0859440766285,36.2369806262171,71.1237047405852
2021-08-20,53.6146713054756,42.1954146409217,65.0339279700296,36.1504253129754,71.0789172979758
2021-08-21,53.5497355050751,42.1173602973273,64.9821107128228,36.0654264321021,71.0340445780481
2021-08-22,53.4855447680859,42.040566837619,64.9305226985527,35.98196149398,70.9891280421917
2021-08-23,53.4221079146283,41.9650228819647,64.879192947292,35.9000084255679,70.9442074036888
2021-08-24,53.3594331180484,41.8907170899886,64.8281491461081,35.8195455565502,70.8993206795466
2021-08-25,53.2975279234318,41.8176381586256,64.777417688238,35.7405516062528,70.8545042406108
2021-08-26,53.2363992656638,41.7457748202771,64.7270237110506,35.6630056712647,70.8097928600629
2021-08-27,53.1760534870449,41.6751158412356,64.6769911328541,35.5868872137019,70.7652197603879
2021-08-28,53.1164963544826,41.6056500203492,64.6273426886162,35.5121760500638,70.7208166589015
2021-08-29,53.0577330762734,41.5373661878983,64.5780999646484,35.4388523406335,70.6766138119133
2021-08-30,52.9997683184845,41.470253204661,64.529283432308,35.3668965793739,70.6326400575951
2021-08-31,52.9426062209553,41.4042999611459,64.4809124807648,35.2962895842858,70.5889228576248
2021-09-01,52.8862504129232,41.3394953769707,64.4330054488757,35.2270124881846,70.5454883376618
2021-09-02,52.8307040282923,41.275828400373,64.3855796562117,35.1590467298694,70.5023613267152
2021-09-03,52.7759697205531,41.2132880078349,64.3386514332714,35.0923740456517,70.4595653954545
2021-09-04,52.7220496773625,41.151863203808,64.2922361509169,35.0269764612157,70.4171228935092
2021-09-05,52.668945634797,41.0915430205272,64.2463482490669,34.9628362837887,70.3750549858054
2021-09-06,52.6166588912856,41.0323165178997,64.2010012646715,34.8999360945957,70.3333816879754
2021-09-07,52.5651903212342,40.9741727834637,64.1562078590046,34.8382587415843,70.292121900884
2021-09-08,52.5145403883482,40.917100932404,64.1119798442924,34.7777873323953,70.2512934443011
2021-09-09,52.4647091586623,40.8610901076189,64.0683282097057,34.7185052275678,70.2109130897568
2021-09-10,52.4156963132845,40.8061294798309,64.0252631467381,34.6603960339624,70.1709965926066
2021-09-11,52.3675011608612,40.7522082477345,63.9827940739879,34.6034435983882,70.1315587233342
2021-09-12,52.320122649774,40.699315638179,63.9409296613691,34.5476320014263,70.0926132981218
2021-09-13,52.2735593800706,40.6474409063786,63.8996778537627,34.4929455514349,70.0541732087064
2021-09-14,52.2278096151359,40.596573336145,63.8590458941268,34.4393687787266,70.0162504515452
2021-09-15,52.1828712931136,40.5467022401429,63.8190403460842,34.3868864299136,69.9788561563136
2021-09-16,52.1387420380816,40.4978169601643,63.779667115999,34.3354834624102,69.9420006137531
2021-09-17,52.0954191709853,40.4499068674157,63.740931474555,34.2851450390857,69.905693302885
2021-09-18,52.0528997203377,40.4029613628228,63.7028380778526,34.2358565230647,69.8699429176106
2021-09-19,52.0111804326873,40.3569698773437,63.665390988031,34.187603472666,69.8347573927087
2021-09-20,51.9702577828637,40.3119218722962,63.6285936934313,34.1403716364782,69.8001439292493
2021-09-21,51.9301279839979,40.2678068396902,63.5924491283056,34.0941469485649,69.766109019431
2021-09-22,51.8907869973318,40.2246143025741,63.5569596920894,34.0489155238005,69.732658470863
2021-09-23,51.8522305418126,40.1823338153858,63.5221272682394,34.0046636533289,69.6997974302964
2021-09-24,51.8144541034809,40.1409549643126,63.4879532426491,33.9613778001436,69.6675304068181
2021-09-25,51.7774529446544,40.1004673676585,63.4544385216502,33.9190445947884,69.6358612945204
2021-09-26,51.7412221129133,40.0608606762192,63.4215835496075,33.8776508311737,69.604793394653
2021-09-27,51.7057564498884,40.0221245736636,63.3893883261132,33.8371834625085,69.5743294372684
2021-09-28,51.6710505998572,39.9842487769236,63.3578524227907,33.7976295973454,69.544471602369
2021-09-29,51.637099018151,39.9472230365902,63.3269749997117,33.7589764957362,69.5152215405657
2021-09-30,51.603895979378,39.9110371373194,63.2967548214366,33.7212115654999,69.4865803932561
2021-10-01,51.5714355854621,39.8756808982439,63.2671902726803,33.6843223585965,69.4585488123277
2021-10-02,51.5397117735028,39.8411441733935,63.2382793736121,33.6482965676092,69.4311269793963
2021-10-03,51.5087183234612,39.8074168521257,63.2100197947967,33.6131220223345,69.4043146245879
2021-10-04,51.4784488656701,39.7744888595625,63.1824088717778,33.5787866864741,69.3781110448662
2021-10-05,51.4488968881781,39.7423501570402,63.155443619316,33.5452786544357,69.3525151219205
2021-10-06,51.4200557439212,39.7109907425639,63.1291207452785,33.5125861482313,69.3275253396111
2021-10-07,51.391918657734,39.6804006512754,63.1034366641926,33.4806975144812,69.3031398009868
2021-10-08,51.364478733198,39.65056995593,63.078387510466,33.4496012215183,69.2793562448777
2021-10-09,51.3377289593298,39.621488767383,63.0539691512766,33.4192858565913,69.2561720620684
2021-10-10,51.3116622171148,39.5931472350881,63.0301771991414,33.3897401231685,69.2335843110611
2021-10-11,51.2862712858846,39.5655355476054,63.0070070241638,33.3609528383382,69.2115897334311
2021-10-12,51.2615488495451,39.5386439331206,62.9844537659695,33.3329129303064,69.1901847687837
2021-10-13,51.2374875026536,39.5124626599753,62.962512345332,33.3056094359906,69.1693655693167
2021-10-14,51.2140797563507,39.486982037208,62.9411774754934,33.2790314987068,69.1491280139946
2021-10-15,51.191318044145,39.4621924151049,62.9204436731851,33.2531683659498,69.1294677223401
2021-10-16,51.1691947275597,39.4380841857644,62.900305269355,33.2280093872678,69.1103800678517
2021-10-17,51.147702101636,39.41464778367,62.8807564196021,33.2035440122241,69.0918601910479
2021-10-18,51.1268324003,39.3918736862743,62.8617911143258,33.1797617884508,69.0739030121493
2021-10-19,51.1065778015953,39.3697524145957,62.8434031885949,33.1566523597899,69.0565032434007
2021-10-20,51.0869304327791,39.3482745338217,62.8255863317366,33.1342054645191,69.0396554010391
2021-10-21,51.0678823752916,39.3274306539264,62.8083340966569,33.1124109336656,69.0233538169176
2021-10-22,51.0494256695916,39.3072114302941,62.7916399088892,33.0912586893995,69.0075926497838
2021-10-23,51.0315523198658,39.2876075643522,62.7754970753793,33.0707387435092,68.9923658962224
2021-10-24,51.0142542986176,39.2686098042186,62.7598987930166,33.0508411959616,68.9776674012737
2021-10-25,50.9975235511265,39.2502089453496,62.7448381569034,33.0315562335337,68.9634908687192
2021-10-26,50.9813519997896,39.2323958312011,62.730308168378,33.0128741285247,68.9498298710544
2021-10-27,50.9657315483447,39.2151613538972,62.7163017427922,32.9947852375422,68.9366778591472
2021-10-28,50.9506540859725,39.1984964549014,62.7028117170436,32.9772800003588,68.9240281715861
2021-10-29,50.9361114912868,39.1823921256987,62.6898308568748,32.9603489388421,68.9118740437314
2021-10-30,50.9220956362102,39.1668394084824,62.677351863938,32.9439826559527,68.9002086164677
2021-10-31,50.908598389738,39.1518293968442,62.6653673826318,32.9281718348089,68.8890249446672
2021-11-01,50.895611621592,39.1373532364707,62.6538700067132,32.9129072378161,68.8783160053678
2021-11-02,50.8831272057667,39.123402125843,62.6428522856904,32.89817970586,68.8680747056734
2021-11-03,50.8711370239673,39.1099673169361,62.6323067309985,32.8839801575568,68.8582938903777
2021-11-04,50.859632968947,39.0970401159267,62.6222258219672,32.8702995885684,68.8489663493256
2021-11-05,50.8486069477384,39.0846118838976,62.6126020115792,32.8571290709689,68.8400848245079
2021-11-06,50.8380508847855,39.0726740375444,62.6034277320267,32.8444597526685,68.8316420169026
2021-11-07,50.8279567249756,39.0612180498821,62.594695400069,32.832282856888,68.8236305930632
2021-11-08,50.8183164365748,39.0502354509519,62.5863974221977,32.8205896816861,68.8160431914635
2021-11-09,50.8091220140654,39.0397178285228,62.5785261996081,32.8093715995311,68.8088724285998
2021-11-10,50.8003654808928,39.0296568287962,62.5710741329895,32.7986200569233,68.8021109048623
2021-11-11,50.7920388921158,39.020044157102,62.5640336271296,32.7883265740576,68.7957512101741
2021-11-12,50.7841343369682,39.0108715785936,62.5573970953427,32.7784827445291,68.7897859294072
2021-11-13,50.7766439413316,39.0021309189376,62.5511569637256,32.7690802350807,68.7842076475826
2021-11-14,50.7695598701194,38.9938140649975,62.5453056752412,32.7601107853847,68.779008954854
2021-11-15,50.7628743295744,38.9859129655106,62.5398356936382,32.7515662078635,68.7741824512853
2021-11-16,50.7565795694839,38.9784196317589,62.534739507209,32.743438387542,68.7697207514258
2021-11-17,50.7506678853091,38.9713261382303,62.530009632388,32.7357192819319,68.7656164886864
2021-11-18,50.7451316202364,38.9646246232735,62.5256386171992,32.7284009209474,68.7618623195254
2021-11-19,50.7399631671453,38.9583072897406,62.52161904455,32.721475406846,68.7584509274447
