"Date","forecast_Sing_covid","forecast_Sing_economic","forecast_Sing_health","forecast_Sing_response","forecast_Sing_stringency","forecast_UK_covid","forecast_UK_economic","forecast_UK_health","forecast_UK_response","forecast_UK_stringency","forecast_US_covid","forecast_US_economic","forecast_US_health","forecast_US_response","forecast_US_stringency"
2021-06-01,52.6512315283238,100.367641115174,69.3071680632346,73.1942998877904,58.3378151608512,3383.53310537946,99.6977841722265,64.2093344225985,68.6400424576322,62.4810385522508,6447.29008300402,49.8701263748452,62.8773362139191,61.2535731280394,47.1344133842696
2021-06-02,73.6275065938683,100.707208582907,69.2163321135752,73.156874505723,58.3478955470053,3488.9458382227,99.4076813996335,64.0826508398878,68.4937177703607,62.4607914041069,7111.28103912419,49.7787246635331,63.2661211675753,61.5820090294821,47.5266677720007
2021-06-03,88.6773609183096,101.026840400914,69.12682970744,73.1181546594409,58.3577103676128,3607.61427796034,99.1283744799272,63.9682856387,68.359420179821,62.4396307010865,7768.91708763677,49.7241772078672,63.6655546501287,61.9244015707646,47.9356291170053
2021-06-04,99.6568902841896,101.331944564164,69.0382116533211,73.0784184181465,58.3656375794082,3737.25425158464,98.8587148480935,63.8647739310833,68.2357370591352,62.4178657304313,8421.13934422437,49.7048953050998,64.0748559710434,62.2798657164838,48.3601929309124
2021-06-05,107.820704960773,101.626095693785,68.950173299479,73.0378424612144,58.3706639266461,3875.87856845686,98.5977012008949,63.7708252863867,68.1214252375408,62.3957518503369,9068.87321228007,49.7193207041568,64.4932647430512,62.647538358566,48.799284970532
2021-06-06,114.01796655314,101.911638801263,68.8625081739693,72.9965365726436,58.372183016118,4021.7596343827,98.3444608184269,63.6853024812184,68.015390273665,62.3734982410979,9713.01805134964,49.7659268725384,64.9200415070479,63.0265789831123,49.2518617540487
2021-06-07,118.824475303382,102.19009575784,68.7750766880689,72.954566787342,58.3698594322631,4173.39676734256,98.0982332426208,63.6072028886657,67.9166683073189,62.351274629174,10354.438827131,49.8432200560746,65.3544682163237,63.4161701924107,49.7169109249416
2021-06-08,122.631671991842,102.462438856529,68.687784992099,72.9119708971334,58.3635373368882,4329.48762271198,97.858356015478,63.5356421758441,67.8244101663025,62.3292171160195,10993.9594817583,49.949740151586,65.7958485957275,63.8155180978249,50.1934514805913
2021-06-09,125.706611289251,102.729274845629,68.6005706747444,72.8687688143109,58.3531790314002,4488.90321046,97.6242522172993,63.4698400204917,67.7378674454363,62.3074332267921,11632.3577934803,50.0840614105957,66.243508389768,64.2238525976791,50.6805338808178
2021-06-10,128.232377126389,102.990968658597,68.5133930763663,72.8249694753207,58.3388236980259,4650.6660520024,97.3954195779268,63.4091075937145,67.6563803106136,62.2860062794478,12270.3615219522,50.2447929905231,66.6967955122117,64.6404275528267,51.1772400500395
2021-06-11,130.335320721605,103.247726529164,68.426226714034,72.780575417913,58.3205597290028,4813.93108143758,97.171420962641,63.3528365878199,67.5793668117938,62.2649991619514,12908.645659362,50.4305793682455,67.155080108456,65.0645208713126,51.6826832853595
2021-06-12,132.10342013083,103.499651755947,68.3390568059737,72.7355857950794,58.2985062035746,4977.96894570858,96.951876059372,63.3004895959833,67.5063135160409,62.2444575941775,13547.8306289844,50.6401006295254,67.617754540797,65.4954345123877,52.1960080816412
2021-06-13,133.598657625226,103.7467820524,68.251876213251,72.6899983398135,58.2728005217041,5142.15140176492,96.7364541157408,63.251591674788,67.4367672954676,62.2244129413367,14188.4812917361,50.8720726465478,68.0842333056811,65.9324944191074,52.716389883517
2021-06-14,134.865366251213,103.989114501778,68.1646833389184,72.6438106267903,58.2435901796884,5305.93854682603,96.5248675935453,63.2057229419139,67.3703281257093,62.2048846372541,14831.1066381028,51.1252471546888,68.5539528911018,66.3750503878173,53.2430347732726
2021-06-15,135.935860286764,104.226622172128,68.0774806747243,72.5970208639317,58.2110273305691,5468.86765114733,96.3168666250091,63.1625120798342,67.3066427687159,62.1858822683818,15476.16005779,51.398411738611,69.0263715814701,66.8224758820012,53.7751791026496
2021-06-16,136.834235380325,104.459265122709,67.9902737864484,72.5496283706193,58.1752652153444,5630.54339169325,96.1122341696863,63.1216306325831,67.2453992294987,62.1674073629489,16124.0400926746,51.6903897368706,69.5009692165413,67.2741677972199,54.3120890758004
2021-06-17,137.578935176015,104.686997641498,67.9030705969689,72.5016338479782,58.1364558495027,5790.62931056903,95.9107817836783,63.0827879968605,67.1863218903475,62.1494549239645,16775.0915903961,52.0000400733872,69.9772469103129,67.7295461831985,54.8530602899011
2021-06-18,138.184486530941,104.909772952699,67.8158808720087,72.4530395120843,58.0947485504971,5948.84034421076,95.7123459239444,63.0457270211181,67.1291672381403,62.1320147398545,17429.6071863417,52.3262570233779,70.4547267352027,68.1880539285183,55.3974172392774
2021-06-19,138.662674256013,105.127546228442,67.728715844407,72.4038491376646,58.0502890272531,6104.93628875593,95.5167847202362,63.0102201371168,67.0737201109694,62.1150725021744,18087.8290509864,52.6679699206809,70.9329513762827,68.649156412826,55.9445127883093
2021-06-20,139.023337933689,105.340276466234,67.6415879335789,72.3540680441806,58.0032188440587,6258.71608397653,95.3239751556871,62.9760659579218,67.0197903995683,62.0986107560653,18749.9508477399,53.024142812778,71.4114837598499,69.1123411309868,56.4937276178501
2021-06-21,139.274913821385,105.547927610042,67.554510530863,72.3037030456312,57.9536751326525,6410.01281292155,95.1338106045238,62.9430862845593,66.967210147102,62.0826097058337,19416.1198536523,53.3937740692682,71.8899066601885,69.5771172931669,57.0444696494215
2021-06-22,139.424804732836,105.750469169181,67.4674978309167,72.2527623783097,57.9017904677255,6558.68932743044,94.9461986818669,62.9111234708231,66.9158309979781,62.0670478951396,20086.4392017372,53.7758959490434,72.3678222879765,70.0430154044368,57.5961734510154
2021-06-23,139.479633760357,105.947876505872,67.3805646956994,72.2012556159737,57.8476928489246,6704.63442092161,94.7610593662605,62.8800381020181,66.8655219524996,62.0519027787812,20760.9702092964,54.1695741309542,72.8448518634431,70.5095868271294,58.1482996279482
2021-06-24,139.445419488835,106.140130906195,67.293726541887,72.1491935786764,57.7915057512221,6847.75947982159,94.5783233605411,62.8497069489863,66.8161673896078,62.0371512008538,21439.7347616181,54.5739072123445,73.3206351770622,70.9764033288672,58.700334201862
2021-06-25,139.327698081682,106.327219511371,67.2069992454623,72.0965882393441,57.7333482181536,6987.99555358066,94.3979306609834,62.8200211635712,66.7676653246681,62.0227697921578,22122.7177248257,54.9880261794457,73.7948301402805,71.4430566188775,59.2517879806544
2021-06-26,139.131609352727,106.509135160904,67.1203990591942,72.0434526307502,57.6733349809131,7125.29079080492,94.2198293084561,62.7908846859154,66.7199258733963,62.0087352980557,22809.8693654932,55.4110938532892,74.267112328523,71.9091578749619,59.8021959218355
2021-06-27,138.861958365269,106.685876181948,67.0339425400358,71.9898007545576,57.6115765920278,7259.60819564057,94.0439742986295,62.7622128376844,66.6728698966321,61.9950248465136,23501.1077580802,55.8423043144698,74.737174518485,72.3743372632401,60.3511164915505
2021-06-28,138.5232603466,106.857446147785,66.9476464843765,71.9356474934607,57.5481795661689,7390.92366428084,93.8703266311716,62.7339310785246,66.6264278038162,61.981616164804,24196.3211642245,56.2808823098172,75.2047262215079,72.8382434525796,60.8981310212784
2021-06-29,138.119774176011,107.023853620529,66.8615278696857,71.8810085270253,57.4832465232328,7519.22426657408,93.6988524804016,62.7059739059187,66.5805384958083,61.9684877522155,24895.3703705489,56.7260826437632,75.6694932146509,73.3005431254305,61.4428430640048
2021-06-30,137.655527999156,107.185111887988,66.7756038015029,71.8259002515423,57.4168763305609,7644.50674203102,93.5295224720723,62.6782838810321,66.5351484300674,61.9556190151716,25598.0909739508,57.1771895569603,76.131217070897,73.760920486605,61.9848777514792
2021-07-01,137.134339372442,107.341238701124,66.6898914650107,71.7703397040229,57.3491642423216,7766.77618346429,93.3623110528929,62.6508107653424,66.4902107933575,61.9429903702949,26304.2956053559,57.6335160944871,76.5896546897782,74.2190767713881,62.5238811539947
2021-07-02,136.559831566156,107.4922560162,66.604408080618,71.7143444903418,57.280202034848,7886.04488480683,93.1971959410869,62.6235107547079,66.4456847689644,61.9305833202296,27013.7760847005,58.0944034657715,77.0445778295645,74.6747297542174,63.0595196439705
2021-07-03,135.935447132237,107.638189744159,66.5191708631185,71.6579327174592,57.2100781372373,8002.33133262326,93.0341576477555,62.5963457991941,66.4015348870383,61.9183805063885,27726.3055013886,58.5592203981911,77.4957726420377,75.1276132590452,63.5914792644818
2021-07-04,135.264459490697,107.779069508743,66.4341969840776,71.6011229296027,57.1388777568595,8115.65932339551,92.8731790601089,62.5692829984251,66.3577304480813,61.9063657422306,28441.6402158675,59.0273624861294,77.9430392107547,75.5774766723745,64.1194651037491
2021-07-05,134.549983049378,107.914928414139,66.3495035371699,71.5439340482636,57.0666829996422,8226.05719089465,92.7142450787473,62.5422940634726,66.3142450108303,61.8945240301963,29159.5217790842,59.4982515371232,78.3861910936024,76.0240844598533,64.6432006764848
2021-07-06,133.794982212031,108.04580282253,66.2651075062334,71.4863853158434,56.9935729851421,8333.55712995646,92.5573423021702,62.5153548374317,66.2710559368807,61.8828415649879,29879.6787676046,59.9713349165865,78.8250548703535,76.4672156872176,65.1624273128904
2021-07-07,133.00227952072,108.171732141596,66.1810257358427,71.428496242784,56.9196239565042,8438.19460466268,92.4024587525407,62.488444867775,66.2281439853274,61.8713057255273,30601.8285330315,60.4460848924736,79.2594696958475,76.9066635462816,65.6769035560018
2021-07-08,132.174563104577,108.292758621859,66.0972749042254,71.3702865580108,56.8449093854657,8540.00783043512,92.2495836374911,62.461547024431,66.1854929515278,61.8599050575945,31325.6788650924,60.9219979811198,79.6892868593459,77.3422348865974,66.1864045679944
2021-07-09,131.314393557162,108.408927163598,66.0138714983695,71.3117761625195,56.7695000725948,8639.03732087043,92.0987071434091,62.4346471582713,66.1430893448186,61.8486292488761,32050.9295684266,61.398594295389,80.1143693505384,77.7737497533283,66.690721545978
2021-07-10,130.424210330472,108.520285133043,65.9308317911797,71.2529850859439,56.6934642429699,8735.32549132012,91.9498202562255,62.4077337953621,66.1009221006622,61.8374690978938,32777.2739536142,61.8754168961558,80.5345914326173,78.2010409318189,67.1896611477442
2021-07-11,129.506337710643,108.626882187483,65.8481718205564,71.1939334459472,56.6168676375138,8828.91631213916,91.8029146062128,62.3807978628511,66.0589823232181,61.8264164781009,33504.4002434514,62.3520311480555,80.9498382227788,78.6239534992818,67.6830449278621
2021-07-12,128.562990424465,108.728770108914,65.7659073702795,71.1346414102854,56.5397736001938,8919.85500551068,91.6579823337589,62.3538324429207,66.0172630548637,61.8154642982184,34231.9928958666,62.8280240803509,81.3600052804576,79.0423443839658,68.1707087844562
2021-07-13,127.596278913587,108.826002645836,65.6840539525857,71.0751291613952,56.4622431613039,9008.18778043523,91.5150159734499,62.326832551623,65.975759069577,61.8046064597469,34959.7338451844,63.3030037536808,81.7649982035541,79.4560819321212,68.6525024169522
2021-07-14,126.608214307936,108.918635362853,65.6026267923407,71.015416863374,56.3843351170256,9093.9616012008,91.3740083541416,62.2997949398258,65.934466687491,61.7938378124389,35687.3036636878,63.7765986333846,82.1647322328752,79.8650454830326,69.1282887950234
2021-07-15,125.600713121837,109.006725497669,65.5216408127076,70.9555246312168,56.3061061054676,9177.22398520198,91.234952512984,62.2727179138153,65.8933836082387,61.7831541084,36414.3826456691,64.2484569700285,82.5591318649635,80.2691249523474,69.5979436389266
2021-07-16,124.575601693975,109.090331825158,65.4411106222235,70.8954725021865,56.2276106793719,9258.02282650512,91.0978416216252,62.2456011733988,65.8525087610004,61.7725519553871,37140.6518163062,64.7182461876921,82.948130473463,80.6682204238898,70.0613549113777
2021-07-17,123.534620389293,109.169514528144,65.3610505032003,70.8352804092037,56.1489013756605,9336.40624199651,90.9626689230393,62.2184456656062,65.8118421694113,61.7620287697749,37865.7938678379,65.1856522805212,83.3316699391302,81.0622417501176,70.5184223210783
2021-07-18,122.479427577811,109.244335074575,65.2814744013686,70.7749681561387,56.070028781997,9412.42243735717,90.8294276776244,62.1912534523182,65.7713848297125,61.7515827295907,38589.4940256063,65.6503792179915,83.7097002885772,81.4511081613449,70.9690568379722
2021-07-19,121.411603404975,109.314856100779,65.2023959166916,70.7145553949047,55.9910416005188,9486.11959043142,90.698111117383,62.1640275903391,65.7311386007111,61.7412127279439,39311.4408466075,66.1121483592837,84.0821793418023,81.8347478838277,71.413180220281
2021-07-20,120.332653365834,109.381141300496,65.1238282952769,70.6540616042508,55.9119867088944,9557.5457498746,90.5687124071484,62.13677202261,65.6911061042921,61.7309183271259,40031.3269532294,66.5706978771206,84.449072368543,82.2130977667831,71.8507245533392
2021-07-21,119.244011694913,109.443255319415,65.0457844223214,70.5935060701596,55.8329092188476,9626.74874720982,90.4412246119502,62.1094914794062,65.6512906353661,61.7206997136002,40748.8497048733,67.0257821913718,84.8103517534647,82.5861029183865,72.2816318002249
2021-07-22,118.147044582356,109.501263654949,64.9682768160236,70.5329078677625,55.7538525322823,9693.77612068562,90.3156406697313,62.082191388507,65.611696080275,61.710557654059,41463.7118101796,67.4771714126977,85.1659966701771,82.953716350773,72.705853364159
2021-07-23,117.043053225906,109.555232560972,64.8913176224058,70.4722858446823,55.6748583951413,9758.6750494636,90.1919533687155,62.0548777934132,65.5723268427725,61.7004934526985,42175.6218825516,67.9246507964572,85.5159927640542,83.3158986340474,73.1233496626265
2021-07-24,115.93327672909,109.605228957317,64.8149186109901,70.4116586057324,55.595966949108,9821.49229693763,90.0701553288314,62.0275572788384,65.5331877768268,61.6905089098089,42884.2949416395,68.3680202070803,85.8603318438193,83.6726175592898,73.5340897131526
2021-07-25,114.818894853137,109.651320343769,64.7390911712744,70.3510444988882,55.5172167812763,9882.27416203521,89.9502389866551,62.0002369027394,65.4942841255477,61.6806062817761,43589.4528634273,68.807093593066,86.1990115818396,84.023847810529,73.9380507306524
2021-07-26,113.701030631112,109.693574718358,64.6638463099573,70.2904616024637,55.4386449718894,9941.06643756781,89.8321965834142,61.9729241342679,65.4556214656413,61.6707882425477,44290.8247815169,69.2416984727395,86.5320352230641,84.3695706456381,74.3352177362558
2021-07-27,112.580752852173,109.73206049974,64.5891946488663,70.229927713423,55.3602871402478,9997.91437476614,89.7160201556479,61.945626797073,65.4172056568488,61.6610578466098,44988.1474421424,69.6716754308756,86.8594113025254,84.7097735860966,74.7255831774954
2021-07-28,111.459078422956,109.766846453471,64.5151464235438,70.1694603367663,55.2821774888842,10052.8626532657,89.6017015281698,61.9183530174605,65.3790427958961,61.6514184934951,45681.1655153892,70.096877626269,87.1811533713186,85.0444501155504,75.1091465597354
2021-07-29,110.336974612653,109.798001621994,64.4417114824471,70.1090766759242,55.2043488460935,10105.9553558912,89.4892323090264,61.8911111769609,65.3411391745262,61.6418738938352,46369.6318650511,70.5171703103061,87.497279730956,85.3735993870873,75.4859140887044
2021-07-30,109.215361188758,109.825595258164,64.3688992867253,70.04879362411,55.126832706899,10157.2359476489,89.3786038861795,61.8639098689003,65.3035012412313,61.6324280369591,47053.3077794354,70.9324303565774,87.8078131759962,85.6972259391424,75.855898323991
2021-07-31,108.095112448367,109.849696762135,64.2967189105315,69.9886277565672,55.0496592725425,10206.7472584493,89.2698074256794,61.8367578586315,65.2661355663537,61.6230851600206,47731.9631654337,71.3425458015405,88.1127807448292,86.01533941993,76.2191178433455
2021-08-01,106.977059151882,109.870375621468,64.2251790418382,69.9285953236679,54.9728574885646,10254.5314691031,89.1628338711229,61.8096640470977,65.2290488102489,61.6138497186397,48405.3767080184,71.7474153962327,88.4122134785011,86.3279543203004,76.5755969176297
2021-08-02,105.861990363955,109.8877013543,64.1542879837188,69.8687122448107,54.8964550815485,10300.6301001809,89.057673944212,61.7826374374341,65.1922476942316,61.6047263590384,49073.3359973167,72.146948169011,88.706146187451,86.6350897149045,76.9253651962455
2021-08-03,104.750655206391,109.901743455434,64.0840536560662,69.8089941030705,54.8204785945971,10345.0840034364,88.9543181462644,61.755687104372,65.1557389740778,61.5957198916277,49735.6376252967,72.54106299928,88.9946172260307,86.9367690115485,77.2684574028694
2021-08-04,103.643764528501,109.912571345223,64.014483597716,69.7494561405607,54.7449534215995,10387.9333554434,88.8527567605293,61.7288221661875,65.1195294158481,61.5868352660243,50392.0872540342,72.929688202159,89.2776682746711,87.2330197086137,77.6049130413143
2021-08-05,102.54199249824,109.92025432111,63.9455849689459,69.6901132544606,54.6699038403546,10429.2176532245,88.7529798551981,61.702051759012,65.0836257738505,61.578077547447,51042.4996574719,73.3127611240181,89.555344129558,87.5238731604088,77.9347761113342
2021-08-06,101.445978119678,109.924861511706,63.8773645543264,69.630979993675,54.5953530445979,10468.975711584,88.6549772869951,61.6753850132863,65.0480347705468,61.5694518944647,51686.6987384549,73.6902277488091,89.827692499675,87.8093643503251,78.258094834188
2021-08-07,100.356326679875,109.926461833305,63.8098287658948,69.572070556085,54.5213231749911,10507.2456620002,88.5587387052684,61.6488310322203,65.0127630782677,61.5609635380386,52324.5175228193,74.062042315098,90.0947638110686,88.0895316716507,78.5749213877679
2021-08-08,99.2736111290306,109.925123948697,63.7429836466289,69.5133987863556,54.4478353491215,10544.0649528317,88.4642535564904,61.6223988720727,64.9778173025661,61.5526177618289,52955.7981321688,74.4281669437016,90.3566110181915,88.3644167159085,78.8853116511043
2021-08-09,98.1983733978341,109.92091622821,63.6768348741992,69.4549781742682,54.3749096905565,10579.4703507317,88.3715110891079,61.596097524137,64.9432039671007,61.5444198837079,53580.3917369527,74.7885712758151,90.6132894221713,88.6340640685693,79.1893249580484
2021-08-10,97.1311256549278,109.913906712852,63.6113877649758,69.3968218535455,54.302565356999,10613.4979430738,88.2805003586725,61.5699358982796,64.9089294999094,61.5363752384471,54198.1584913509,75.1432321215154,90.8648564958602,88.898521111997,79.48702385994
2021-08-11,96.0723515081385,109.904163079492,63.5466472782713,69.3389426011393,54.2308205675838,10646.1831413114,88.1912102332063,61.5439228079384,64.8750002209845,61.5284891615207,54808.9674514167,75.492133118512,91.1113717155116,89.1578378354772,79.7784738970605
2021-08-12,95.0225071516517,109.891752607947,63.4826180207997,69.2813528369522,54.1596926293552,10677.5606851295,88.1036293987521,61.5180669564592,64.8414223310385,61.5207669739874,55412.6964778607,75.835264401011,91.352896398934,89.4120666521791,80.0637433786737
2021-08-13,93.9820224629457,109.876742149937,63.4193042513335,69.224064623969,54.0891979629608,10707.6646472846,88.0177463650676,61.4923769246715,64.8082019013693,61.5132139684069,56009.2321247812,76.1726222785534,91.5894935499696,89.6612622229022,80.3429031714568
2021-08-14,92.9513020510269,109.859198099794,63.3567098855408,69.1670896687678,54.0193521275993,10736.5284390732,87.9335494714324,61.4668611596272,64.7753448647542,61.5058353957395,56598.4695155979,76.5042089246808,91.8212277091477,89.905481286454,80.6160264961211
2021-08-15,91.9307262595973,109.83918636686,63.2948385009879,69.1104393223918,53.9501698452506,10764.1848163353,87.8510268925369,61.4415279644148,64.7428570072919,61.4986364531891,57180.3122073555,76.8300320752778,92.0481648103592,90.1447824965103,80.8831887320273
2021-08-16,90.9206521268347,109.816772349509,63.233693342291,69.0541245815574,53.8816650242219,10790.6658859012,87.7701666444205,61.416385488959,64.7107439611114,61.491622272953,57754.6720445279,77.1501047364355,92.2703720434036,90.3792262648038,81.1444672295952
2021-08-17,89.9214143036664,109.792020910705,63.1732773264021,68.9981560901731,53.8138507820408,10816.0031124608,87.6909565904457,61.3914417217591,64.6790111979057,61.484797911826,58321.469003379,77.4644449016762,92.4879177222578,90.6088746104919,81.3999411303128
2021-08-18,88.933325933896,109.764996355045,63.1135930480165,68.9425441411569,53.746739467716,10840.2273257782,87.6133844472822,61.3667044824914,64.647664023219,61.4781683416247,58880.6310279023,77.773075278374,92.7008711589148,90.8337910155488,81.6496911941485
2021-08-19,87.9566794965448,109.735762407214,63.0546427850882,68.8872986785233,53.6803426834011,10863.3687281966,87.537437790885,61.3421814154101,64.6167075714323,61.4717384403922,59432.0938582505,78.0760230232087,92.9093025426486,91.0540402860361,81.8937996341732
2021-08-20,86.9917476139914,109.704382191804,62.9964285044419,68.8324292997309,53.6146713054756,10885.4569024102,87.463104062453,61.3178799835052,64.5861468014065,61.4655129843434,59975.8008525831,78.3733194864811,93.1132828245541,91.2696884190976,82.1323499581995
2021-08-21,86.0387838259734,109.670918214425,62.9389518674691,68.7779452582652,53.5497355050751,10906.52081944,87.3903705743535,61.2938074633516,64.5559864927252,61.4594966405167,60511.7028031733,78.6649999651183,93.3128836072177,91.4808024755312,82.3654268172459
2021-08-22,85.0980233325856,109.635432344057,62.8822142358978,68.7238554664458,53.4855447680859,10926.5888468021,87.3192245160037,61.2699709406175,64.5262312425085,61.4536939600914,61039.7577475427,78.9511034641979,93.5081770393753,91.6874504577904,82.5931158606402
2021-08-23,84.1696837069457,109.597985796604,62.8262166776265,68.6701684984395,53.4221079146283,10945.6887568224,87.2496529596978,61.2463773061735,64.4968854627433,61.4481093723432,61559.9307753983,79.231672466815,93.6992357154138,91.8897011932674,82.8155035975727
2021-08-24,83.2539655791026,109.558639119577,62.7709599726109,68.6168925934644,53.3594331180484,10963.8477350686,87.1816428663726,61.2230332527706,64.4679533781044,61.4427471791989,62072.1938320564,79.5067527121184,93.8861325795761,92.0876242227145,83.0326772649166
